airline,price,duration,stops,departure,arrival,returns,datetime
Tap Air PortugalOperado por Portugalia Airlines,472 €,13 h 35 min,1 escala,22:15,11:50+1,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Mel Air for Airnostrum as Iberia",478 €,15 h,1 escala,7:30,22:30,ida y vuelta,2023-04-22T21:33:18.747801
"Iberia,Royal Air MarocOperado por Air Nostrum for Iberia",852 €,6 h 35 min,1 escala,11:35,18:10,ida y vuelta,2023-04-22T21:33:18.747801
"Iberia,Royal Air MarocOperado por Air Nostrum for Iberia,Mel Air for Airnostrum as Iberia",905 €,10 h 55 min,2 escalas,11:35,22:30,ida y vuelta,2023-04-22T21:33:18.747801
"Vueling,IberiaOperado por Air Nostrum for Iberia",1.008 €,6 h 30 min,1 escala,9:30,16:00,ida y vuelta,2023-04-22T21:33:18.747801
"Iberia,British Airways",1.035 €,6 h 40 min,1 escala,7:00,13:40,ida y vuelta,2023-04-22T21:33:18.747801
Ryanair,56 €,3 h 5 min,Directo,6:45,8:50,ida y vuelta,2023-04-22T21:33:53.286323
Iberia ExpressIberia,72 €,3 h,Directo,7:30,9:30,ida y vuelta,2023-04-22T21:33:53.286323
Air Europa,94 €,2 h 55 min,Directo,7:05,9:00,ida y vuelta,2023-04-22T21:33:53.286323
Iberia ExpressIberia,72 €,2 h 55 min,Directo,22:00,23:55,ida y vuelta,2023-04-22T21:33:53.286323
Ryanair,75 €,3 h 5 min,Directo,13:10,15:15,ida y vuelta,2023-04-22T21:33:53.286323
Iberia ExpressIberia,80 €,3 h,Directo,9:25,11:25,ida y vuelta,2023-04-22T21:33:53.286323
Iberia ExpressIberia,82 €,3 h,Directo,14:40,16:40,ida y vuelta,2023-04-22T21:33:53.286323
Iberia ExpressIberia,87 €,3 h,Directo,14:00,16:00,ida y vuelta,2023-04-22T21:33:53.286323
Iberia ExpressIberia,93 €,3 h,Directo,11:55,13:55,ida y vuelta,2023-04-22T21:33:53.286323
Air Europa,94 €,2 h 55 min,Directo,15:05,17:00,ida y vuelta,2023-04-22T21:33:53.286323
Air Europa,123 €,2 h 55 min,Directo,20:00,21:55,ida y vuelta,2023-04-22T21:33:53.286323
Iberia Express,148 €,3 h,Directo,16:15,18:15,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",158 €,14 h 15 min,1 escala,22:45,12:00+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",159 €,15 h 45 min,1 escala,22:45,13:30+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",159 €,17 h 5 min,1 escala,22:45,14:50+1,ida y vuelta,2023-04-22T21:33:53.286323
IberiaOperado por Iberia Express,164 €,3 h,Directo,16:15,18:15,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",176 €,5 h 15 min,1 escala,7:45,12:00,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",176 €,6 h 45 min,1 escala,7:45,13:30,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",176 €,9 h,1 escala,7:45,15:45,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",191 €,5 h 5 min,1 escala,9:25,13:30,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",191 €,7 h 20 min,1 escala,9:25,15:45,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",198 €,5 h 20 min,1 escala,11:25,15:45,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",199 €,22 h 10 min,1 escala,14:50,12:00+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",199 €,23 h 40 min,1 escala,14:50,13:30+1,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryfly",202 €,24 h 35 min,1 escala,11:40,11:15+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",215 €,24 h 35 min,1 escala,12:25,12:00+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",215 €,26 h 5 min,1 escala,12:25,13:30+1,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryfly",220 €,21 h 15 min,1 escala,15:00,11:15+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",223 €,20 h 20 min,1 escala,16:40,12:00+1,ida y vuelta,2023-04-22T21:33:53.286323
"Iberia,Binter CanariasOperado por Iberia Express",223 €,21 h 50 min,1 escala,16:40,13:30+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,242 €,11 h 45 min,1 escala,22:35,9:20+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,252 €,7 h 30 min,1 escala,13:40,20:10,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,252 €,15 h 50 min,1 escala,18:30,9:20+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,282 €,11 h 40 min,1 escala,9:30,20:10,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,292 €,6 h 10 min,1 escala,9:30,14:40,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",376 €,13 h 25 min,1 escala,7:05,19:30,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryfly",376 €,8 h 50 min,1 escala,11:40,19:30,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryfly",376 €,5 h 30 min,1 escala,15:00,19:30,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",452 €,5 h 10 min,1 escala,7:05,11:15,ida y vuelta,2023-04-22T21:33:53.286323
Vueling,457 €,10 h 25 min,1 escala,13:40,23:05,ida y vuelta,2023-04-22T21:33:53.286323
Vueling,477 €,5 h 35 min,1 escala,18:30,23:05,ida y vuelta,2023-04-22T21:33:53.286323
Aer Lingus,487 €,10 h,1 escala,10:40,19:40,ida y vuelta,2023-04-22T21:33:53.286323
Vueling,487 €,14 h 35 min,1 escala,9:30,23:05,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",493 €,16 h 55 min,2 escalas,7:05,23:00,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",506 €,7 h 55 min,2 escalas,7:05,14:00,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",506 €,14 h 5 min,2 escalas,7:05,20:10,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",520 €,10 h 25 min,2 escalas,7:05,16:30,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryflyOperado por Air Europa Express",531 €,12 h 45 min,2 escalas,7:05,18:50,ida y vuelta,2023-04-22T21:33:53.286323
"Air Europa,canaryfly",531 €,8 h 10 min,2 escalas,11:40,18:50,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,695 €,20 h 40 min,1 escala,13:40,9:20+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,699 €,22 h 35 min,1 escala,22:35,20:10+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,726 €,24 h 50 min,1 escala,9:30,9:20+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,737 €,17 h 5 min,1 escala,22:35,14:40+1,ida y vuelta,2023-04-22T21:33:53.286323
VuelingIberia,754 €,21 h 10 min,1 escala,18:30,14:40+1,ida y vuelta,2023-04-22T21:33:53.286323
"SWISS,Edelweiss AirOperado por Helvetic",5.850 €,15 h,1 escala,19:45,9:45+1,ida y vuelta,2023-04-22T21:33:53.286323
Ryanair,60 €,3 h,Directo,6:10,8:10,ida y vuelta,2023-04-22T21:34:25.964830
Iberia ExpressIberia,134 €,2 h 55 min,Directo,7:45,9:40,ida y vuelta,2023-04-22T21:34:25.964830
Air Europa,144 €,2 h 50 min,Directo,7:05,8:55,ida y vuelta,2023-04-22T21:34:25.964830
Iberia ExpressIberia,136 €,2 h 55 min,Directo,14:50,16:45,ida y vuelta,2023-04-22T21:34:25.964830
Iberia ExpressIberia,140 €,2 h 55 min,Directo,12:25,14:20,ida y vuelta,2023-04-22T21:34:25.964830
Air Europa,144 €,2 h 55 min,Directo,11:40,13:35,ida y vuelta,2023-04-22T21:34:25.964830
Air Europa,151 €,2 h 55 min,Directo,15:00,16:55,ida y vuelta,2023-04-22T21:34:25.964830
Billetes separados que se han reservado juntos,151 €,"Air Europa,Vueling",MAD–TFN,7:00,12:35,ida y vuelta,2023-04-22T21:34:25.964830
Iberia ExpressIberia,184 €,2 h 55 min,Directo,9:25,11:20,ida y vuelta,2023-04-22T21:34:25.964830
"Air Europa,canaryfly",192 €,28 h 10 min,1 escala,7:05,10:15+1,ida y vuelta,2023-04-22T21:34:25.964830
Air Europa,199 €,15 h 45 min,1 escala,6:40,21:25,ida y vuelta,2023-04-22T21:34:25.964830
Air Europa,199 €,11 h 25 min,1 escala,11:00,21:25,ida y vuelta,2023-04-22T21:34:25.964830
Air Europa,199 €,7 h 25 min,1 escala,15:00,21:25,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",200 €,5 h 30 min,1 escala,7:30,12:00,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",201 €,26 h 30 min,1 escala,7:30,9:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",201 €,24 h 35 min,1 escala,9:25,9:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",201 €,26 h 5 min,1 escala,9:25,10:30+1,ida y vuelta,2023-04-22T21:34:25.964830
"Air Europa,canaryfly",202 €,20 h 10 min,1 escala,15:05,10:15+1,ida y vuelta,2023-04-22T21:34:25.964830
"Air Europa,canaryfly",202 €,26 h 25 min,1 escala,15:05,16:30+1,ida y vuelta,2023-04-22T21:34:25.964830
Billetes separados que se han reservado juntos,202 €,"Air Europa,Binter Canarias",MAD–TFN,15:05,18:30,ida y vuelta,2023-04-22T21:34:25.964830
Iberia Express,203 €,2 h 55 min,Directo,20:00,21:55,ida y vuelta,2023-04-22T21:34:25.964830
Iberia Express,205 €,2 h 55 min,Directo,16:40,18:35,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",213 €,20 h,1 escala,14:00,9:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",213 €,21 h 30 min,1 escala,14:00,10:30+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",213 €,23 h,1 escala,14:00,12:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",213 €,19 h 20 min,1 escala,14:40,9:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",213 €,20 h 50 min,1 escala,14:40,10:30+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",213 €,22 h 20 min,1 escala,14:40,12:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",218 €,12 h,1 escala,22:00,9:00+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",218 €,13 h 30 min,1 escala,22:00,10:30+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",218 €,15 h,1 escala,22:00,12:00+1,ida y vuelta,2023-04-22T21:34:25.964830
IberiaOperado por Iberia Express,230 €,2 h 55 min,Directo,16:40,18:35,ida y vuelta,2023-04-22T21:34:25.964830
IberiaOperado por Iberia Express,230 €,2 h 55 min,Directo,20:00,21:55,ida y vuelta,2023-04-22T21:34:25.964830
"Air Europa,canaryfly",261 €,21 h 30 min,1 escala,20:00,16:30+1,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,287 €,12 h 10 min,1 escala,22:35,9:45+1,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,292 €,6 h 45 min,1 escala,13:40,19:25,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,292 €,9 h 45 min,1 escala,13:40,22:25,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,302 €,10 h 55 min,1 escala,9:30,19:25,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,302 €,13 h 55 min,1 escala,9:30,22:25,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,Binter CanariasOperado por Iberia Express",324 €,17 h 45 min,1 escala,16:15,9:00+1,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,327 €,16 h 15 min,1 escala,18:30,9:45+1,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,332 €,6 h 5 min,1 escala,9:30,14:35,ida y vuelta,2023-04-22T21:34:25.964830
"Air Europa,canaryfly",420 €,10 h 25 min,1 escala,7:05,16:30,ida y vuelta,2023-04-22T21:34:25.964830
"Air Europa,canaryfly",420 €,15 h 15 min,1 escala,20:00,10:15+1,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",742 €,15 h 30 min,2 escalas,7:55,22:25,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",764 €,12 h 30 min,2 escalas,7:55,19:25,ida y vuelta,2023-04-22T21:34:25.964830
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",764 €,15 h 30 min,2 escalas,7:55,22:25,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,1.040 €,17 h,1 escala,22:35,14:35+1,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,1.080 €,25 h 55 min,1 escala,13:40,14:35+1,ida y vuelta,2023-04-22T21:34:25.964830
VuelingIberia,1.100 €,21 h 5 min,1 escala,18:30,14:35+1,ida y vuelta,2023-04-22T21:34:25.964830
Iberia ExpressIberia,51 €,1 h 15 min,Directo,7:30,8:45,ida y vuelta,2023-04-22T21:34:53.086966
Iberia Express,59 €,1 h 15 min,Directo,19:45,21:00,ida y vuelta,2023-04-22T21:34:53.086966
Air Europa,63 €,1 h 15 min,Directo,6:35,7:50,ida y vuelta,2023-04-22T21:34:53.086966
IberiaOperado por Iberia Express,70 €,1 h 15 min,Directo,19:45,21:00,ida y vuelta,2023-04-22T21:34:53.086966
Air Europa,63 €,1 h 15 min,Directo,19:05,20:20,ida y vuelta,2023-04-22T21:34:53.086966
Air Europa,73 €,1 h 15 min,Directo,10:35,11:50,ida y vuelta,2023-04-22T21:34:53.086966
Iberia Express,81 €,1 h 15 min,Directo,15:45,17:00,ida y vuelta,2023-04-22T21:34:53.086966
Air Europa,91 €,1 h 15 min,Directo,15:00,16:15,ida y vuelta,2023-04-22T21:34:53.086966
IberiaOperado por Iberia Express,94 €,1 h 15 min,Directo,15:45,17:00,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,175 €,10 h,1 escala,22:35,8:35+1,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,193 €,4 h 55 min,1 escala,9:30,14:25,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,193 €,6 h 15 min,1 escala,9:30,15:45,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,242 €,13 h,1 escala,9:30,22:30,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,249 €,5 h,1 escala,17:55,22:55,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,249 €,11 h 20 min,1 escala,22:15,9:35+1,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,258 €,15 h 40 min,1 escala,17:55,9:35+1,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,279 €,15 h 15 min,1 escala,7:40,22:55,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,307 €,6 h,1 escala,16:30,22:30,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,311 €,11 h 50 min,1 escala,11:05,22:55,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,311 €,6 h 35 min,1 escala,16:20,22:55,ida y vuelta,2023-04-22T21:34:53.086966
"Tap Air PortugalOperado por Bulgaria Air,Portugalia Airlines",311 €,13 h 25 min,1 escala,20:10,9:35+1,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,338 €,9 h 20 min,1 escala,13:35,22:55,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,338 €,20 h,1 escala,13:35,9:35+1,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,338 €,17 h 15 min,1 escala,16:20,9:35+1,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,410 €,16 h 25 min,1 escala,22:15,14:40+1,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,413 €,20 h 45 min,1 escala,17:55,14:40+1,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",425 €,3 h 55 min,1 escala,16:55,20:50,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",427 €,16 h 10 min,1 escala,16:55,9:05+1,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",427 €,19 h,1 escala,16:55,11:55+1,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",431 €,18 h,1 escala,16:55,10:55+1,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",431 €,21 h,1 escala,16:55,13:55+1,ida y vuelta,2023-04-22T21:34:53.086966
"Tap Air PortugalOperado por Bulgaria Air,Portugalia Airlines",457 €,18 h 30 min,1 escala,20:10,14:40+1,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",475 €,11 h 50 min,2 escalas,9:00,20:50,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",475 €,9 h 20 min,2 escalas,11:30,20:50,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",477 €,21 h 35 min,2 escalas,11:30,9:05+1,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysOperado por Finnair for British Airways,496 €,17 h 10 min,1 escala,17:20,10:30+1,ida y vuelta,2023-04-22T21:34:53.086966
Aer Lingus,519 €,9 h 55 min,1 escala,10:40,20:35,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysIberiaOperado por Finnair for British Airways,524 €,15 h 30 min,1 escala,19:00,10:30+1,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",525 €,8 h 45 min,1 escala,12:05,20:50,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,527 €,7 h,1 escala,7:40,14:40,ida y vuelta,2023-04-22T21:34:53.086966
Tap Air PortugalOperado por Portugalia Airlines,527 €,3 h 35 min,1 escala,11:05,14:40,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Mel Air for Airnostrum as Iberia,Mel Air for Airnostrum as Iberia",529 €,5 h 50 min,1 escala,12:05,17:55,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Air Nostrum for Iberia,Mel Air for Airnostrum as Iberia",535 €,11 h 10 min,1 escala,9:40,20:50,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Air Nostrum for Iberia,Mel Air for Airnostrum as Iberia",539 €,8 h 15 min,1 escala,9:40,17:55,ida y vuelta,2023-04-22T21:34:53.086966
"IberiaOperado por Air Nostrum for Iberia,Mel Air for Airnostrum as Iberia",543 €,5 h 15 min,1 escala,9:40,14:55,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysOperado por BA Cityflyer,664 €,23 h 45 min,1 escala,17:20,17:05+1,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,680 €,18 h 35 min,1 escala,22:35,17:10+1,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,680 €,19 h 5 min,1 escala,22:35,17:40+1,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysOperado por BA Cityflyer,692 €,22 h 5 min,1 escala,19:00,17:05+1,ida y vuelta,2023-04-22T21:34:53.086966
VuelingIberia,697 €,16 h 5 min,1 escala,16:30,8:35+1,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysOperado por Finnair for British Airways,723 €,13 h 45 min,1 escala,20:45,10:30+1,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysOperado por Finnair for British Airways,774 €,18 h 40 min,1 escala,17:20,12:00+1,ida y vuelta,2023-04-22T21:34:53.086966
British AirwaysOperado por Finnair for British Airways,802 €,17 h,1 escala,19:00,12:00+1,ida y vuelta,2023-04-22T21:34:53.086966
Lufthansa,4.613 €,8 h 30 min,1 escala,8:30,17:00,ida y vuelta,2023-04-22T21:34:53.086966
Brussels Airlines,4.886 €,8 h 25 min,1 escala,6:20,14:45,ida y vuelta,2023-04-22T21:34:53.086966
Brussels Airlines,4.886 €,13 h,1 escala,6:20,19:20,ida y vuelta,2023-04-22T21:34:53.086966
Brussels Airlines,4.886 €,6 h 40 min,1 escala,12:40,19:20,ida y vuelta,2023-04-22T21:34:53.086966
SWISS,5.399 €,17 h 5 min,1 escala,19:45,12:50+1,ida y vuelta,2023-04-22T21:34:53.086966
SWISS,5.399 €,19 h 25 min,1 escala,19:45,15:10+1,ida y vuelta,2023-04-22T21:34:53.086966
"Air FranceOperado por HOP!,HOP!",Precio no disponible,6 h 40 min,1 escala,10:05,16:45,No disponible,2023-04-22T21:34:53.086966
Air France,Precio no disponible,5 h 45 min,1 escala,17:50,23:35,No disponible,2023-04-22T21:34:53.086966
Iberia,70 €,1 h 10 min,Directo,7:20,8:30,ida y vuelta,2023-04-22T21:35:29.624585
Iberia,83 €,1 h 10 min,Directo,22:00,23:10,ida y vuelta,2023-04-22T21:35:29.624585
IberiaOperado por Air Nostrum for Iberia,114 €,1 h 10 min,Directo,15:50,17:00,ida y vuelta,2023-04-22T21:35:29.624585
Iberia,133 €,1 h 10 min,Directo,19:50,21:00,ida y vuelta,2023-04-22T21:35:29.624585
Iberia,140 €,1 h 10 min,Directo,11:40,12:50,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,257 €,4 h 50 min,1 escala,9:30,14:20,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,277 €,10 h 30 min,1 escala,22:35,9:05+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,317 €,14 h 35 min,1 escala,18:30,9:05+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,337 €,8 h 35 min,1 escala,13:40,22:15,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,347 €,12 h 45 min,1 escala,9:30,22:15,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,367 €,3 h 45 min,1 escala,18:30,22:15,ida y vuelta,2023-04-22T21:35:29.624585
"Iberia,VuelingOperado por Iberia Express",578 €,20 h 30 min,1 escala,22:45,19:15+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,649 €,17 h 45 min,1 escala,22:35,16:20+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,649 €,34 h 30 min,1 escala,22:35,9:05+2,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,689 €,30 h 50 min,1 escala,9:30,16:20+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,689 €,26 h 40 min,1 escala,13:40,16:20+1,ida y vuelta,2023-04-22T21:35:29.624585
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",707 €,6 h 25 min,2 escalas,7:55,14:20,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,709 €,21 h 50 min,1 escala,18:30,16:20+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,717 €,23 h 30 min,1 escala,22:35,22:05+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,720 €,23 h 35 min,1 escala,9:30,9:05+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,720 €,19 h 25 min,1 escala,13:40,9:05+1,ida y vuelta,2023-04-22T21:35:29.624585
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",723 €,25 h 10 min,2 escalas,7:55,9:05+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,757 €,32 h 25 min,1 escala,13:40,22:05+1,ida y vuelta,2023-04-22T21:35:29.624585
VuelingIberia,789 €,27 h 35 min,1 escala,18:30,22:05+1,ida y vuelta,2023-04-22T21:35:29.624585
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",1.393 €,25 h 10 min,2 escalas,7:55,9:05+1,ida y vuelta,2023-04-22T21:35:29.624585
"Iberia,VuelingOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",1.428 €,14 h 20 min,2 escalas,7:55,22:15,ida y vuelta,2023-04-22T21:35:29.624585
IberiaOperado por Air Nostrum for Iberia,65 €,1 h 5 min,Directo,7:30,8:35,ida y vuelta,2023-04-22T21:35:55.984094
IberiaOperado por Air Nostrum for Iberia,108 €,1 h 10 min,Directo,19:50,21:00,ida y vuelta,2023-04-22T21:35:55.984094
IberiaOperado por Air Nostrum for Iberia,131 €,1 h 10 min,Directo,12:00,13:10,ida y vuelta,2023-04-22T21:35:55.984094
IberiaOperado por Air Nostrum for Iberia,145 €,1 h 10 min,Directo,15:50,17:00,ida y vuelta,2023-04-22T21:35:55.984094
Vueling,187 €,10 h 5 min,1 escala,22:35,8:40+1,ida y vuelta,2023-04-22T21:35:55.984094
Vueling,207 €,6 h 5 min,1 escala,9:30,15:35,ida y vuelta,2023-04-22T21:35:55.984094
Vueling,227 €,14 h 10 min,1 escala,18:30,8:40+1,ida y vuelta,2023-04-22T21:35:55.984094
IberiaOperado por Air Nostrum for Iberia,94 €,1 h 10 min,Directo,12:00,13:10,ida y vuelta,2023-04-22T21:36:25.321386
IberiaOperado por Air Nostrum for Iberia,152 €,1 h 10 min,Directo,7:45,8:55,ida y vuelta,2023-04-22T21:36:25.321386
IberiaOperado por Air Nostrum for Iberia,159 €,1 h 15 min,Directo,19:50,21:05,ida y vuelta,2023-04-22T21:36:25.321386
VuelingIberia,332 €,14 h 15 min,1 escala,22:35,12:50+1,ida y vuelta,2023-04-22T21:36:25.321386
